2026-01-13 00:00:28,632 | WARNING | 00:00:28 | CRITICAL | Sudden motion jump detected
2026-01-13 00:00:29,087 | WARNING | 00:00:29 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:00:29,409 | WARNING | 00:00:29 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:00:29,930 | WARNING | 00:00:29 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:00:30,497 | WARNING | 00:00:30 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:00:31,010 | WARNING | 00:00:31 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:00:31,379 | WARNING | 00:00:31 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:00:31,838 | WARNING | 00:00:31 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:00:32,344 | WARNING | 00:00:32 | CRITICAL | Sudden motion jump detected
2026-01-13 00:00:32,818 | WARNING | 00:00:32 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:00:33,172 | WARNING | 00:00:33 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:00:33,725 | WARNING | 00:00:33 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:00:34,188 | WARNING | 00:00:34 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:00:34,620 | WARNING | 00:00:34 | CRITICAL | Sudden motion jump detected
2026-01-13 00:00:35,201 | WARNING | 00:00:35 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:00:35,709 | WARNING | 00:00:35 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:00:36,266 | WARNING | 00:00:36 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:00:36,715 | WARNING | 00:00:36 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:00:37,232 | WARNING | 00:00:37 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:00:37,751 | WARNING | 00:00:37 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:00:38,278 | WARNING | 00:00:38 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:00:38,739 | WARNING | 00:00:38 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:00:39,166 | WARNING | 00:00:39 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:00:39,598 | WARNING | 00:00:39 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:00:39,985 | WARNING | 00:00:39 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:00:40,523 | WARNING | 00:00:40 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:00:41,190 | WARNING | 00:00:41 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:00:41,778 | WARNING | 00:00:41 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:00:42,247 | WARNING | 00:00:42 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:00:42,684 | WARNING | 00:00:42 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:00:43,233 | WARNING | 00:00:43 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:00:43,815 | WARNING | 00:00:43 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:00:44,482 | WARNING | 00:00:44 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:00:44,958 | WARNING | 00:00:44 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:00:45,364 | WARNING | 00:00:45 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:00:45,777 | WARNING | 00:00:45 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:00:46,262 | WARNING | 00:00:46 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:00:46,741 | WARNING | 00:00:46 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:00:47,214 | WARNING | 00:00:47 | CRITICAL | Sudden motion jump detected
2026-01-13 00:00:47,715 | WARNING | 00:00:47 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:00:48,165 | WARNING | 00:00:48 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:00:48,636 | WARNING | 00:00:48 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:00:49,178 | WARNING | 00:00:49 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:00:49,669 | WARNING | 00:00:49 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:00:50,051 | WARNING | 00:00:50 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:00:50,673 | WARNING | 00:00:50 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:00:51,192 | WARNING | 00:00:51 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:00:51,810 | WARNING | 00:00:51 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:00:52,254 | WARNING | 00:00:52 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:00:52,821 | WARNING | 00:00:52 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:00:53,389 | WARNING | 00:00:53 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:00:53,856 | WARNING | 00:00:53 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:00:54,474 | WARNING | 00:00:54 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:00:55,011 | WARNING | 00:00:55 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:00:55,418 | WARNING | 00:00:55 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:00:55,871 | WARNING | 00:00:55 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:00:56,355 | WARNING | 00:00:56 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:00:56,835 | WARNING | 00:00:56 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:00:57,309 | WARNING | 00:00:57 | CRITICAL | Sudden motion jump detected
2026-01-13 00:00:57,777 | WARNING | 00:00:57 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:00:58,309 | WARNING | 00:00:58 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:00:58,783 | WARNING | 00:00:58 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:00:59,274 | WARNING | 00:00:59 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:00:59,813 | WARNING | 00:00:59 | CRITICAL | Sudden motion jump detected
2026-01-13 00:01:00,300 | WARNING | 00:01:00 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:00,935 | WARNING | 00:01:00 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:01,498 | WARNING | 00:01:01 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:01,956 | WARNING | 00:01:01 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:01:02,443 | WARNING | 00:01:02 | CRITICAL | Sudden motion jump detected
2026-01-13 00:01:02,913 | WARNING | 00:01:02 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:03,359 | WARNING | 00:01:03 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:03,875 | WARNING | 00:01:03 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:04,380 | WARNING | 00:01:04 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:04,895 | WARNING | 00:01:04 | CRITICAL | Sudden motion jump detected
2026-01-13 00:01:05,457 | WARNING | 00:01:05 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:05,948 | WARNING | 00:01:05 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:06,282 | WARNING | 00:01:06 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:06,638 | WARNING | 00:01:06 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:07,053 | WARNING | 00:01:07 | CRITICAL | Sudden motion jump detected
2026-01-13 00:01:07,449 | WARNING | 00:01:07 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:07,821 | WARNING | 00:01:07 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:08,326 | WARNING | 00:01:08 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:08,899 | WARNING | 00:01:08 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:09,380 | WARNING | 00:01:09 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:01:09,802 | WARNING | 00:01:09 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:10,184 | WARNING | 00:01:10 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:10,587 | WARNING | 00:01:10 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:10,945 | WARNING | 00:01:10 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:11,354 | WARNING | 00:01:11 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:01:11,769 | WARNING | 00:01:11 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:12,169 | WARNING | 00:01:12 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:12,585 | WARNING | 00:01:12 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:13,015 | WARNING | 00:01:13 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:13,368 | WARNING | 00:01:13 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:13,661 | WARNING | 00:01:13 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:14,010 | WARNING | 00:01:14 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:14,431 | WARNING | 00:01:14 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:14,868 | WARNING | 00:01:14 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:15,311 | WARNING | 00:01:15 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:15,687 | WARNING | 00:01:15 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:16,074 | WARNING | 00:01:16 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:16,511 | WARNING | 00:01:16 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:16,951 | WARNING | 00:01:16 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:17,498 | WARNING | 00:01:17 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:19,840 | WARNING | 00:01:19 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:21,859 | WARNING | 00:01:21 | CRITICAL | Sudden motion jump detected
2026-01-13 00:01:22,326 | WARNING | 00:01:22 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:22,746 | WARNING | 00:01:22 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:23,183 | WARNING | 00:01:23 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:23,602 | WARNING | 00:01:23 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:23,975 | WARNING | 00:01:23 | CRITICAL | Sudden motion jump detected
2026-01-13 00:01:24,392 | WARNING | 00:01:24 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:24,784 | WARNING | 00:01:24 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:25,173 | WARNING | 00:01:25 | HIGH RISK | Fast movement — possible pushing
